Name,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,Location,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
"~$admin_passwoerter.xlsx","2025-05-06 20:47:30 MESZ","0000-00-00 00:00:00","2025-05-06 00:00:00 MESZ","2025-05-06 20:47:25 MESZ",165,Unallocated,Unallocated,unknown,"/img_usb_image.001/vol_vol2/Zugänge/~$admin_passwoerter.xlsx","0907615c3af6f06d662432a9b35368c2","b8cb541894667403a9f726cdf981b2e125ddb64620a13f34dd1a6606d446a9e7",application/octet-stream,xlsx
"~$admin_passwoerter.xlsx","2025-05-06 20:47:46 MESZ","0000-00-00 00:00:00","2025-05-06 00:00:00 MESZ","2025-05-06 20:47:25 MESZ",165,Unallocated,Unallocated,unknown,"/img_usb_image.001/vol_vol2/Zugänge/~$admin_passwoerter.xlsx","0907615c3af6f06d662432a9b35368c2","b8cb541894667403a9f726cdf981b2e125ddb64620a13f34dd1a6606d446a9e7",application/octet-stream,xlsx
"Microsoft Word-Dokument (neu).docx","2025-05-06 20:48:26 MESZ","0000-00-00 00:00:00","2025-05-06 00:00:00 MESZ","2025-05-06 20:48:24 MESZ",0,Unallocated,Unallocated,unknown,"/img_usb_image.001/vol_vol2/Zugänge/Microsoft Word-Dokument (neu).docx","d41d8cd98f00b204e9800998ecf8427e","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855",application/octet-stream,docx
Firmenintern.docx,"2025-05-06 20:48:26 MESZ","0000-00-00 00:00:00","2025-05-06 00:00:00 MESZ","2025-05-06 20:48:24 MESZ",0,Unallocated,Unallocated,unknown,"/img_usb_image.001/vol_vol2/Zugänge/Firmenintern.docx","d41d8cd98f00b204e9800998ecf8427e","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855",application/octet-stream,docx
_WRD0000.tmp,"2025-05-06 20:51:30 MESZ","0000-00-00 00:00:00","2025-05-06 00:00:00 MESZ","2025-05-06 20:48:24 MESZ",13511,Unallocated,Unallocated,unknown,"/img_usb_image.001/vol_vol2/Zugänge/_WRD0000.tmp","1eb6e735bebdda541653bdbf31a5fa63","79655411bdec9ad2163cd75f78e2ec200082005504a03b5ee8a19a20c8fd4abe","application/vnd.openxmlformats-officedocument.wordprocessingml.document",tmp
_WRL0001.tmp,"2025-05-06 20:48:26 MESZ","0000-00-00 00:00:00","2025-05-06 00:00:00 MESZ","2025-05-06 20:48:24 MESZ",0,Unallocated,Unallocated,unknown,"/img_usb_image.001/vol_vol2/Zugänge/_WRL0001.tmp","d41d8cd98f00b204e9800998ecf8427e","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855",application/octet-stream,tmp
Firmenintern.docx,"2025-05-06 20:51:30 MESZ","0000-00-00 00:00:00","2025-05-06 00:00:00 MESZ","2025-05-06 20:48:24 MESZ",13511,Unallocated,Unallocated,unknown,"/img_usb_image.001/vol_vol2/Zugänge/Firmenintern.docx","1eb6e735bebdda541653bdbf31a5fa63","79655411bdec9ad2163cd75f78e2ec200082005504a03b5ee8a19a20c8fd4abe","application/vnd.openxmlformats-officedocument.wordprocessingml.document",docx
_WRD0000.tmp,"2025-05-06 20:51:48 MESZ","0000-00-00 00:00:00","2025-05-06 00:00:00 MESZ","2025-05-06 20:48:24 MESZ",13546,Unallocated,Unallocated,unknown,"/img_usb_image.001/vol_vol2/Zugänge/_WRD0000.tmp","78f9a30ac4caeebf48ab9c01e19d3197","1a69fadd2ec3611843c16995df5a4a9c6cf7b0ef0b4a87c018def99d4100d528",application/zip,tmp
_WRL0001.tmp,"2025-05-06 20:51:30 MESZ","0000-00-00 00:00:00","2025-05-06 00:00:00 MESZ","2025-05-06 20:48:24 MESZ",13511,Unallocated,Unallocated,unknown,"/img_usb_image.001/vol_vol2/Zugänge/_WRL0001.tmp","1eb6e735bebdda541653bdbf31a5fa63","79655411bdec9ad2163cd75f78e2ec200082005504a03b5ee8a19a20c8fd4abe","application/vnd.openxmlformats-officedocument.wordprocessingml.document",tmp
Firmenintern.docx,"2025-05-06 20:51:48 MESZ","0000-00-00 00:00:00","2025-05-06 00:00:00 MESZ","2025-05-06 20:48:24 MESZ",13546,Unallocated,Unallocated,unknown,"/img_usb_image.001/vol_vol2/Zugänge/Firmenintern.docx","78f9a30ac4caeebf48ab9c01e19d3197","1a69fadd2ec3611843c16995df5a4a9c6cf7b0ef0b4a87c018def99d4100d528","application/vnd.openxmlformats-officedocument.wordprocessingml.document",docx
